ScannedBarcode,CountOfMRP,MRP,Conversion,Check MRP,CombiBarCode+MRP,SBF,Category,Picking_Status,CombiBarCode+MRP+Conversion,QtyPicked
4987176289650,#REF!,983,#REF!,OK,4987176289650_983,,,#REF!,#REF!,0
4987176289650,#REF!,983,#REF!,OK,4987176289650_983,,,#REF!,#REF!,0
4987176222121,#REF!,130,#REF!,OK,4987176222121_130,,,#REF!,#REF!,0
4987176222121,#REF!,130,#REF!,OK,4987176222121_130,,,#REF!,#REF!,0
4987176222121,#REF!,130,#REF!,OK,4987176222121_130,,,#REF!,#REF!,0
4987176222121,#REF!,130,#REF!,OK,4987176222121_130,,,#REF!,#REF!,0
4987176351272,#REF!,949,#REF!,OK,4987176351272_949,,,#REF!,#REF!,0
4987176351272,#REF!,949,#REF!,OK,4987176351272_949,,,#REF!,#REF!,0
4987176351357,#REF!,225,#REF!,OK,4987176351357_225,,,#REF!,#REF!,0
4987176168405,#REF!,117,#REF!,OK,4987176168405_117,,,#REF!,#REF!,9
4987176168405,#REF!,117,#REF!,OK,4987176168405_117,,,#REF!,#REF!,9
4987176244987,#REF!,186,#REF!,OK,4987176244987_186,,,#REF!,#REF!,15
4987176244987,#REF!,186,#REF!,OK,4987176244987_186,,,#REF!,#REF!,1
4987176244987,#REF!,186,#REF!,OK,4987176244987_186,,,#REF!,#REF!,1
4987176244987,#REF!,186,#REF!,OK,4987176244987_186,,,#REF!,#REF!,0
4987176244987,#REF!,186,#REF!,OK,4987176244987_186,,,#REF!,#REF!,0
4987176244987,#REF!,186,#REF!,OK,4987176244987_186,,,#REF!,#REF!,0
4987176168399,#REF!,201,#REF!,OK,4987176168399_201,,,#REF!,#REF!,0
4987176191205,#REF!,102,#REF!,OK,4987176191205_102,,,#REF!,#REF!,19
4987176191205,#REF!,102,#REF!,OK,4987176191205_102,,,#REF!,#REF!,24
4987176385567,#REF!,50,#REF!,OK,4987176385567_50,,,#REF!,#REF!,0
4987176385567,#REF!,50,#REF!,OK,4987176385567_50,,,#REF!,#REF!,0
4987176385567,#REF!,50,#REF!,OK,4987176385567_50,,,#REF!,#REF!,0
4987176385567,#REF!,50,#REF!,OK,4987176385567_50,,,#REF!,#REF!,0
4987176385826,#REF!,1600,#REF!,OK,4987176385826_1600,,,#REF!,#REF!,0
4987176385826,#REF!,1600,#REF!,OK,4987176385826_1600,,,#REF!,#REF!,0
4987176385826,#REF!,1600,#REF!,OK,4987176385826_1600,,,#REF!,#REF!,0
4987176073006,#REF!,199,#REF!,OK,4987176073006_199,,,#REF!,#REF!,0
4987176073006,#REF!,199,#REF!,OK,4987176073006_199,,,#REF!,#REF!,0
4987176073006,#REF!,199,#REF!,OK,4987176073006_199,,,#REF!,#REF!,0
4987176073006,#REF!,199,#REF!,OK,4987176073006_199,,,#REF!,#REF!,0
4987176073006,#REF!,199,#REF!,OK,4987176073006_199,,,#REF!,#REF!,0
4987176073440,#REF!,79,#REF!,OK,4987176073440_79,,,#REF!,#REF!,0
4987176073440,#REF!,79,#REF!,OK,4987176073440_79,,,#REF!,#REF!,0
4987176315731,#REF!,235,#REF!,OK,4987176315731_235,,,#REF!,#REF!,0
4987176234292,#REF!,75,#REF!,OK,4987176234292_75,,,#REF!,#REF!,0
4987176234292,#REF!,75,#REF!,OK,4987176234292_75,,,#REF!,#REF!,0
4987176234292,#REF!,75,#REF!,OK,4987176234292_75,,,#REF!,#REF!,0
