CombiBarCode+MRP,company,category,brand,BrandForm,SBF,BarCode,UPC,MRP,SLP,RLP,CountOfMRP,Conversion,Combi,Mono,Units
4987176335166_98,GIL,Grooming,Guard,Guard Cart,Guard Cart 8s SBD,4.98718E+12,480,98,78.4,81.67,1,Singles,4987176335166_98_Singles,1,1
4987176335326_1030,PGHP,Baby Care,Pampers,Premium Pants,PC Pants LG Super Saver Pk,4.98718E+12,4,1030,823.97,858.33,1,Singles,4987176335326_1030_Singles,1,1
4987176335333_1030,PGHP,Baby Care,Pampers,Premium Pants,PC Pants SM Super Saver Pk,4.98718E+12,4,1030,823.97,858.33,1,Singles,4987176335333_1030_Singles,1,1
4987176335364_1030,PGHP,Baby Care,Pampers,Premium Pants,PC Pants MD Super Saver Pk,4.98718E+12,4,1030,823.97,858.33,1,Singles,4987176335364_1030_Singles,1,1
4987176335623_79,PGHP,Hair Care,H&S,H&S 7in1 Bottles,H&S 7IN1 72ML,4.98718E+12,48,79,68.94,71.81,1,Singles,4987176335623_79_Singles,1,1
4987176335623_79,PGHP,Hair Care,H&S,H&S 7in1 Bottles,H&S 7IN1 72ML HTH,4.98718E+12,48,79,65,65,1,Singles,4987176335623_79_Singles,1,1
4987176336163_185,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liq 950ml TL,4.98718E+12,12,185,164.44,171.3,1,Singles,4987176336163_185_Singles,1,1
4987176336194_209,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liq 950ml FL,4.98718E+12,12,209,185.77,193.52,1,Singles,4987176336194_209_Singles,1,1
4987176336392_140,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,whspr Ult XXXL ON 4s,4.98718E+12,36,140,117.89,122.81,1,Singles,4987176336392_140_Singles,1,1
4987176336415_700,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,whspr Ult XXXL ON20s,4.98718E+12,12,700,522.13,543.9,1,Singles,4987176336415_700_Singles,1,1
4987176336422_350,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,Whspr Ult XXXL ON10s,4.98718E+12,12,350,294.73,307.02,2,Singles,4987176336422_350_Singles,1,1
4987176336422_370,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,Whspr Ult XXXL ON10s,4.98718E+12,12,370,311.57,324.56,2,Singles,4987176336422_370_Singles,1,1
4987176337214_389,PGHP,Fabric & Home Care,Ariel,Ariel PerfectWash,Ariel PW Blue 3kg,4.98718E+12,8,389,345.77,360.19,1,Singles,4987176337214_389_Singles,1,1
4987176338037_1217,PGHP,Baby Care,Pampers,Pampers Imax,Pampers LG Jumbo Pk,4.98718E+12,4,1217,1015.9,1058.26,1,Singles,4987176338037_1217_Singles,1,1
4987176338044_107,PGHP,Baby Care,Pampers,Pampers Imax,Pampers LG 5s,4.98718E+12,72,107,89.32,93.04,1,Singles,4987176338044_107_Singles,1,1
4987176338051_467,PGHP,Baby Care,Pampers,Active Baby,Active Baby LG Econ,4.98718E+12,18,467,389.83,406.09,1,Singles,4987176338051_467_Singles,1,1
4987176338082_411,PGHP,Baby Care,Pampers,Pampers Imax,Pampers LG Econ Pk,4.98718E+12,18,411,343.08,357.39,1,Singles,4987176338082_411_Singles,1,1
